timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
2749,-0.023071,-0.008423,0.998047,-0.610352,-0.122070,0.122070
2769,-0.023926,-0.009033,1.006104,-0.671387,0.000000,-0.244141
2789,-0.024292,-0.008789,1.005371,-0.671387,0.122070,-0.183105
2809,-0.024292,-0.008423,1.005249,-0.671387,0.061035,-0.183105
2829,-0.023315,-0.008789,1.006226,-0.671387,0.000000,-0.183105
2849,-0.024292,-0.007568,1.006226,-0.671387,0.000000,-0.183105
2869,-0.023926,-0.008545,1.005005,-0.732422,0.000000,-0.183105
2889,-0.023804,-0.008179,1.005127,-0.732422,0.061035,-0.183105
2909,-0.024292,-0.008545,1.004517,-0.671387,0.061035,-0.183105
2929,-0.023926,-0.008911,1.005005,-0.732422,0.061035,-0.122070
2949,-0.023315,-0.007935,1.005249,-0.671387,0.061035,-0.183105
2969,-0.024292,-0.008423,1.005005,-0.671387,0.061035,-0.122070
2989,-0.024902,-0.007690,1.004272,-0.671387,0.000000,-0.183105
3009,-0.023682,-0.007202,1.004883,-0.610352,0.061035,-0.244141
3029,-0.023560,-0.008789,1.004639,-0.610352,0.061035,-0.183105
3049,-0.023926,-0.008545,1.004395,-0.732422,0.000000,-0.183105
3069,-0.024048,-0.008667,1.005371,-0.732422,0.000000,-0.122070
3089,-0.024048,-0.009399,1.005615,-0.732422,0.061035,-0.183105
3109,-0.023682,-0.008789,1.004517,-0.732422,0.061035,-0.122070
3129,-0.023193,-0.007813,1.004883,-0.671387,0.061035,-0.122070
3149,-0.024414,-0.008423,1.005493,-0.671387,0.061035,-0.183105
3169,-0.023926,-0.008789,1.005737,-0.610352,0.061035,-0.183105
3189,-0.023682,-0.007568,1.004883,-0.671387,0.000000,-0.122070
3209,-0.024048,-0.008911,1.004028,-0.732422,0.061035,-0.122070
3229,-0.024048,-0.009155,1.005127,-0.732422,0.061035,-0.183105
3249,-0.023560,-0.007813,1.005249,-0.732422,0.061035,-0.183105
3269,-0.023315,-0.009766,1.005615,-0.671387,0.000000,-0.122070
3289,-0.023804,-0.008789,1.004517,-0.671387,0.000000,-0.122070
3309,-0.023193,-0.008789,1.004395,-0.732422,0.000000,-0.122070
3329,-0.025024,-0.008057,1.004883,-0.671387,0.000000,-0.122070
3349,-0.022949,-0.007813,1.003784,-0.671387,0.000000,-0.122070
3369,-0.023560,-0.008545,1.003906,-0.671387,0.000000,-0.183105
3389,-0.025269,-0.008667,1.004395,-0.732422,0.122070,-0.244141
3409,-0.024658,-0.009399,1.005981,-0.732422,0.061035,-0.061035
3429,-0.023071,-0.008057,1.005493,-0.610352,0.000000,-0.122070
3449,-0.023560,-0.008667,1.005371,-0.671387,0.061035,-0.183105
3469,-0.022949,-0.008423,1.005859,-0.671387,0.061035,-0.183105
3489,-0.024170,-0.008057,1.005249,-0.671387,0.061035,-0.183105
3509,-0.024170,-0.006958,1.006348,-0.671387,0.000000,-0.122070
3529,-0.023560,-0.007568,1.005859,-0.671387,-0.061035,-0.183105
3549,-0.023437,-0.008789,1.004272,-0.671387,-0.061035,-0.122070
3569,-0.025879,-0.007813,1.003784,-0.671387,0.000000,-0.061035
3589,-0.023682,-0.009155,1.005493,-0.671387,0.061035,-0.122070
3609,-0.022949,-0.006470,1.006104,-0.671387,0.061035,-0.183105
3629,-0.025146,-0.008301,1.004272,-0.671387,0.061035,-0.122070
3649,-0.023193,-0.008789,1.005249,-0.732422,0.061035,-0.183105
3669,-0.024780,-0.007935,1.005127,-0.671387,0.000000,-0.122070
3689,-0.023926,-0.008057,1.004883,-0.671387,0.000000,-0.183105
3709,-0.023315,-0.009399,1.005981,-0.671387,0.061035,-0.183105
3729,-0.023682,-0.007080,1.006592,-0.671387,0.122070,-0.183105
3749,-0.023437,-0.007202,1.005615,-0.610352,0.000000,-0.122070
3769,-0.025146,-0.009521,1.004150,-0.671387,0.000000,-0.122070
3789,-0.022827,-0.007568,1.003784,-0.732422,0.061035,-0.183105
3809,-0.024902,-0.007935,1.006226,-0.671387,0.061035,-0.183105
3829,-0.023926,-0.009033,1.005859,-0.732422,0.000000,-0.122070
3849,-0.024170,-0.006958,1.005371,-0.671387,0.000000,-0.061035
3869,-0.024414,-0.009399,1.004639,-0.671387,0.061035,-0.183105
3889,-0.023315,-0.008179,1.006348,-0.732422,0.000000,-0.183105
3909,-0.024292,-0.008057,1.005737,-0.793457,0.061035,-0.122070
3929,-0.024414,-0.007568,1.005249,-0.671387,0.061035,-0.183105
3949,-0.023804,-0.008911,1.004395,-0.610352,0.000000,-0.244141
3969,-0.023437,-0.008423,1.006226,-0.732422,0.000000,-0.183105
3989,-0.024780,-0.007690,1.005127,-0.732422,0.061035,-0.183105
4009,-0.023804,-0.009033,1.003296,-0.732422,0.122070,-0.122070
4029,-0.023560,-0.007080,1.004517,-0.732422,0.061035,-0.183105
4049,-0.024170,-0.009155,1.005005,-0.671387,0.061035,-0.183105
4069,-0.024292,-0.008789,1.005493,-0.671387,0.122070,-0.183105
4089,-0.024414,-0.008057,1.004150,-0.671387,0.000000,-0.183105
4109,-0.025757,-0.009155,1.004517,-0.671387,0.000000,-0.122070
4129,-0.023437,-0.008789,1.006470,-0.732422,0.061035,-0.122070
4149,-0.022339,-0.007813,1.005859,-0.671387,0.000000,-0.183105
4169,-0.024902,-0.008545,1.005615,-0.671387,0.000000,-0.122070
4189,-0.024536,-0.008057,1.004761,-0.671387,0.000000,-0.122070
4209,-0.022949,-0.008179,1.004761,-0.732422,0.000000,-0.183105
4229,-0.024414,-0.008667,1.006348,-0.671387,0.000000,-0.183105
4249,-0.024902,-0.008911,1.003174,-0.732422,0.000000,-0.122070
4269,-0.024048,-0.008911,1.004028,-0.671387,0.000000,-0.122070
4289,-0.024780,-0.008179,1.003662,-0.610352,0.061035,-0.122070
4309,-0.022461,-0.008911,1.006104,-0.671387,0.061035,-0.122070
4329,-0.022583,-0.008423,1.005371,-0.671387,0.122070,-0.183105
4349,-0.024170,-0.009644,1.004639,-0.793457,0.061035,-0.122070
4369,-0.023682,-0.008423,1.006470,-0.793457,0.061035,-0.061035
